word,frequency,year,term,source_pdf,total_tokens,relative_freq
people,44,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.009865470852017937
question,38,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.008520179372197309
english,31,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.00695067264573991
go,27,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.006053811659192825
water,27,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.006053811659192825
food,26,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.005829596412556054
page,26,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.005829596412556054
next,25,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.005605381165919282
passage,23,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.00515695067264574
need,22,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.004932735426008968
life,20,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.004484304932735426
child,18,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.004035874439461884
many,18,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.004035874439461884
test,18,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.004035874439461884
one,17,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.003811659192825112
shyness,17,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.003811659192825112
age,16,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.003587443946188341
even,16,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.003587443946188341
lie,16,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.003587443946188341
america,15,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0033632286995515697
best,15,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0033632286995515697
time,15,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0033632286995515697
may,14,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.003139013452914798
according,13,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002914798206278027
control,13,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002914798206278027
long,13,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002914798206278027
period,13,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002914798206278027
study,13,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002914798206278027
take,13,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002914798206278027
year,13,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002914798206278027
century,12,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0026905829596412557
choose,12,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0026905829596412557
could,12,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0026905829596412557
latin,12,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0026905829596412557
slavery,12,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0026905829596412557
temperature,12,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0026905829596412557
also,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
answer,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
bacteria,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
exercise,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
first,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
get,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
help,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
language,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
make,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
social,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
space,11,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002466367713004484
ago,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
cause,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
girl,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
given,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
person,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
recent,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
relevant,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
think,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
thought,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
yeni,10,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002242152466367713
change,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
country,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
cultural,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
film,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
find,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
growing,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
high,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
hour,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
impact,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
keep,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
rather,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
research,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
see,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
since,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
true,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
user,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
working,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
would,9,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.002017937219730942
although,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
benefit,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
book,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
detector,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
european,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
evidence,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
group,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
however,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
land,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
number,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
often,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
past,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
point,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
problem,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
product,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
read,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
really,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
still,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
way,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
well,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
word,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
writer,8,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0017937219730941704
acid,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
amount,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
around,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
author,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
bad,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
become,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
certain,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
condition,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
culture,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
device,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
disorder,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
drug,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
due,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
early,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
effect,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
end,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
following,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
genetic,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
household,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
human,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
increase,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
low,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
much,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
respondent,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
shown,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
stay,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
use,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
used,7,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.001569506726457399
actually,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
already,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
analysis,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
anxiety,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
area,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
asteroid,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
austronesian,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
aware,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
away,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
caused,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
comfort,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
earth,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
experience,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
expert,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
feel,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
good,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
great,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
health,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
koala,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
last,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
learn,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
like,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
limitation,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
making,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
motor,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
movement,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
new,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
patient,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
physical,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
prevent,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
procedure,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
purpose,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
raised,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
salt,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
self,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
sensory,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
shy,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
slave,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
symptom,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
thinking,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
two,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
type,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
unless,6,2020,Yds1,2020_YDS1_Ingilizce.pdf,4460,0.0013452914798206279
