word,frequency,year,term,source_pdf,total_tokens,relative_freq
child,41,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.008928571428571428
english,33,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.007186411149825784
people,32,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.006968641114982578
go,31,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.006750871080139373
life,31,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.006750871080139373
human,30,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.006533101045296167
pay,30,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.006533101045296167
employee,26,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.005662020905923345
next,25,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00544425087108014
page,25,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00544425087108014
increase,21,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.004573170731707317
even,20,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.004355400696864111
may,20,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.004355400696864111
one,20,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.004355400696864111
passage,20,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.004355400696864111
could,19,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.004137630662020906
world,19,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.004137630662020906
invention,18,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0039198606271777
performance,18,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0039198606271777
time,18,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0039198606271777
water,18,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0039198606271777
high,17,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0037020905923344947
might,17,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0037020905923344947
question,17,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0037020905923344947
would,17,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0037020905923344947
change,16,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.003484320557491289
many,16,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.003484320557491289
eye,15,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0032665505226480837
milk,15,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0032665505226480837
new,15,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0032665505226480837
year,15,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0032665505226480837
food,14,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.003048780487804878
labour,14,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.003048780487804878
problem,14,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.003048780487804878
use,14,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.003048780487804878
weight,14,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.003048780487804878
alternative,13,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0028310104529616726
best,13,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0028310104529616726
century,13,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0028310104529616726
individual,13,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0028310104529616726
since,13,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0028310104529616726
system,13,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0028310104529616726
different,12,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002613240418118467
eating,12,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002613240418118467
first,12,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002613240418118467
health,12,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002613240418118467
much,12,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002613240418118467
way,12,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002613240418118467
word,12,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002613240418118467
city,11,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002395470383275261
development,11,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002395470383275261
disorder,11,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002395470383275261
eyeglass,11,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002395470383275261
form,11,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002395470383275261
make,11,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002395470383275261
often,11,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002395470383275261
social,11,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002395470383275261
test,11,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.002395470383275261
also,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
cause,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
choose,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
climate,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
earth,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
fat,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
like,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
number,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
research,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
sleep,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
used,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
well,10,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0021777003484320556
according,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
ancient,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
around,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
based,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
electricity,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
know,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
must,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
though,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
vision,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
work,9,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.00195993031358885
brain,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
drone,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
education,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
get,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
lead,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
likely,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
liquid,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
loss,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
position,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
powerful,8,2019,Yds2,2019_YDS2_Ingilizce.pdf,4592,0.0017421602787456446
