word,frequency,year,term,source_pdf
people,36,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
one,23,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
einstein,21,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
water,19,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
world,19,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
could,18,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
drought,18,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
new,18,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
time,18,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
glacier,17,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
sea,17,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
australia,16,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
year,16,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
also,14,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
disease,14,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
even,14,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
level,14,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
may,14,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
age,13,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
education,13,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
first,13,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
many,13,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
pressure,13,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
used,13,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
make,12,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
mean,12,2016,Yds_Sonbahar,2016_YDS_Sonbahar_Ingilizce.pdf
