word,frequency,year,term,source_pdf,total_tokens,relative_freq
english,31,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.041499330655957165
go,25,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.03346720214190094
next,25,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.03346720214190094
page,25,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.03346720214190094
question,16,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.0214190093708166
vaccine,14,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.018741633199464525
choose,10,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.013386880856760375
used,10,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.013386880856760375
passage,9,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.012048192771084338
best,8,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.0107095046854083
emotion,8,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.0107095046854083
virus,8,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.0107095046854083
could,7,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.009370816599732263
scientific,7,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.009370816599732263
state,7,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.009370816599732263
answer,6,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.008032128514056224
bamboo,6,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.008032128514056224
feeling,6,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.008032128514056224
method,6,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.008032128514056224
modern,6,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.008032128514056224
researcher,6,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.008032128514056224
science,6,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.008032128514056224
according,5,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.006693440428380187
expression,5,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.006693440428380187
live,5,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.006693440428380187
mental,5,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.006693440428380187
sentence,5,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.006693440428380187
slip,5,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.006693440428380187
creativity,4,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.00535475234270415
fill,4,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.00535475234270415
many,4,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.00535475234270415
people,4,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.00535475234270415
produce,4,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.00535475234270415
space,4,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.00535475234270415
weakened,4,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.00535475234270415
word,4,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.00535475234270415
archaeologist,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
century,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
complete,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
data,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
document,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
form,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
given,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
however,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
immune,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
industrial,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
much,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
new,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
option,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
region,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
revolution,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
system,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
test,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
time,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
world,3,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.004016064257028112
accurate,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
advantage,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
also,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
artefact,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
artistic,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
began,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
collection,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
condition,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
consist,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
consists,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
creative,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
due,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
entire,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
ever,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
favoured,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
highly,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
human,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
including,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
individual,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
information,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
ivory,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
journalist,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
known,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
less,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
may,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
mean,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
measured,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
part,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
place,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
potential,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
strong,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
study,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
term,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
translation,2,2025,Yds2,ingilizce_yd2d16112025 (1).pdf,747,0.002677376171352075
