word,frequency,year,term,source_pdf,total_tokens,relative_freq
people,42,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.009408602150537635
english,29,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.006496415770609319
go,26,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.005824372759856631
passage,26,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.005824372759856631
next,23,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.005152329749103943
one,23,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.005152329749103943
page,23,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.005152329749103943
many,21,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.004704301075268817
need,21,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.004704301075268817
country,19,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.004256272401433692
new,19,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.004256272401433692
question,19,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.004256272401433692
time,19,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.004256272401433692
study,18,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.004032258064516129
even,17,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0038082437275985663
language,16,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0035842293906810036
lead,16,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0035842293906810036
way,16,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0035842293906810036
brain,15,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.003360215053763441
long,15,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.003360215053763441
may,15,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.003360215053763441
year,15,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.003360215053763441
body,14,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0031362007168458782
city,14,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0031362007168458782
less,14,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0031362007168458782
world,14,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0031362007168458782
best,13,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0029121863799283156
well,13,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.0029121863799283156
according,12,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002688172043010753
age,12,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002688172043010753
cause,12,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002688172043010753
child,12,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002688172043010753
effect,12,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002688172043010753
impact,12,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002688172043010753
lung,12,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002688172043010753
still,12,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002688172043010753
although,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
azerbaijan,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
choose,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
different,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
good,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
health,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
however,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
human,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
literary,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
ocean,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
oil,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
plant,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
result,11,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.00246415770609319
ability,10,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002240143369175627
also,10,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002240143369175627
high,10,2021,Yds1,2021_YDS1_Ingilizce.pdf,4464,0.002240143369175627
